POKEID;NAME;TYPE;TOTAL;HP;ATTACK;DEFENSE;SP_ATK;SP_DEF;SPEED;ICONS
0078;Rapidash Galarian Rapidash;['Psychic', 'Fairy'];500;65;100;70;80;80;105;['https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash-galarian.png']
0079;Slowpoke;['Water', 'Psychic'];315;90;65;65;40;40;15;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke.png']
0079;Slowpoke Galarian Slowpoke;['Psychic'];315;90;65;65;40;40;15;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke-galarian.png']
0080;Slowbro;['Water', 'Psychic'];490;95;75;110;100;80;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro.png']
0080;Slowbro Mega Slowbro;['Water', 'Psychic'];590;95;75;180;130;80;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-mega.png']
0080;Slowbro Galarian Slowbro;['Poison', 'Psychic'];490;95;100;95;100;70;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-galarian.png']
0081;Magnemite;['Electric', 'Steel'];325;25;35;70;95;55;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/magnemite.png']
0082;Magneton;['Electric', 'Steel'];465;50;60;95;120;70;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/magneton.png']
0083;Farfetch'd;['Normal', 'Flying'];377;52;90;55;58;62;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd.png']
0083;Farfetch'd Galarian Farfetch'd;['Fighting'];377;52;95;55;58;62;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd-galarian.png']
0084;Doduo;['Normal', 'Flying'];310;35;85;45;35;35;75;['https://img.pokemondb.net/sprites/scarlet-violet/icon/doduo.png']
0085;Dodrio;['Normal', 'Flying'];470;60;110;70;60;60;110;['https://img.pokemondb.net/sprites/scarlet-violet/icon/dodrio.png']
0086;Seel;['Water'];325;65;45;55;45;70;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/seel.png']
0087;Dewgong;['Water', 'Ice'];475;90;70;80;70;95;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/dewgong.png']
0088;Grimer;['Poison'];325;80;80;50;40;50;25;['https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer.png']
0088;Grimer Alolan Grimer;['Poison', 'Dark'];325;80;80;50;40;50;25;['https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer-alolan.png']
0089;Muk;['Poison'];500;105;105;75;65;100;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/muk.png']
0089;Muk Alolan Muk;['Poison', 'Dark'];500;105;105;75;65;100;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/muk-alolan.png']
0090;Shellder;['Water'];305;30;65;100;45;25;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/shellder.png']
0091;Cloyster;['Water', 'Ice'];525;50;95;180;85;45;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/cloyster.png']
0092;Gastly;['Ghost', 'Poison'];310;30;35;30;100;35;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gastly.png']
0093;Haunter;['Ghost', 'Poison'];405;45;50;45;115;55;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/haunter.png']
0094;Gengar;['Ghost', 'Poison'];500;60;65;60;130;75;110;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar.png']
0094;Gengar Mega Gengar;['Ghost', 'Poison'];600;60;65;80;170;95;130;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar-mega.png']
0095;Onix;['Rock', 'Ground'];385;35;45;160;30;45;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/onix.png']
0096;Drowzee;['Psychic'];328;60;48;45;43;90;42;['https://img.pokemondb.net/sprites/scarlet-violet/icon/drowzee.png']
0097;Hypno;['Psychic'];483;85;73;70;73;115;67;['https://img.pokemondb.net/sprites/scarlet-violet/icon/hypno.png']
0098;Krabby;['Water'];325;30;105;90;25;25;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/krabby.png']
0099;Kingler;['Water'];475;55;130;115;50;50;75;['https://img.pokemondb.net/sprites/scarlet-violet/icon/kingler.png']
0100;Voltorb;['Electric'];330;40;30;50;55;55;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb.png']
0100;Voltorb Hisuian Voltorb;['Electric', 'Grass'];330;40;30;50;55;55;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png']
0101;Electrode;['Electric'];490;60;50;70;80;80;150;['https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode.png']
0101;Electrode Hisuian Electrode;['Electric', 'Grass'];490;60;50;70;80;80;150;['https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png']
0102;Exeggcute;['Grass', 'Psychic'];325;60;40;80;60;45;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggcute.png']
0103;Exeggutor;['Grass', 'Psychic'];530;95;95;85;125;75;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor.png']
0103;Exeggutor Alolan Exeggutor;['Grass', 'Dragon'];530;95;105;85;125;75;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor-alolan.png']
0104;Cubone;['Ground'];320;50;50;95;40;50;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/cubone.png']
0105;Marowak;['Ground'];425;60;80;110;50;80;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak.png']
0105;Marowak Alolan Marowak;['Fire', 'Ghost'];425;60;80;110;50;80;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak-alolan.png']
0106;Hitmonlee;['Fighting'];455;50;120;53;35;110;87;['https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonlee.png']
0107;Hitmonchan;['Fighting'];455;50;105;79;35;110;76;['https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonchan.png']
0108;Lickitung;['Normal'];385;90;55;75;60;75;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/lickitung.png']
0109;Koffing;['Poison'];340;40;65;95;60;45;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/koffing.png']
0110;Weezing;['Poison'];490;65;90;120;85;70;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing.png']
0110;Weezing Galarian Weezing;['Poison', 'Fairy'];490;65;90;120;85;70;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing-galarian.png']
0111;Rhyhorn;['Ground', 'Rock'];345;80;85;95;30;30;25;['https://img.pokemondb.net/sprites/scarlet-violet/icon/rhyhorn.png']
0112;Rhydon;['Ground', 'Rock'];485;105;130;120;45;45;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/rhydon.png']
0113;Chansey;['Normal'];450;250;5;5;35;105;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/chansey.png']
0114;Tangela;['Grass'];435;65;55;115;100;40;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tangela.png']
0115;Kangaskhan;['Normal'];490;105;95;80;40;80;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan.png']
0115;Kangaskhan Mega Kangaskhan;['Normal'];590;105;125;100;60;100;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan-mega.png']
0116;Horsea;['Water'];295;30;40;70;70;25;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/horsea.png']
0117;Seadra;['Water'];440;55;65;95;95;45;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/seadra.png']
0118;Goldeen;['Water'];320;45;67;60;35;50;63;['https://img.pokemondb.net/sprites/scarlet-violet/icon/goldeen.png']
0119;Seaking;['Water'];450;80;92;65;65;80;68;['https://img.pokemondb.net/sprites/scarlet-violet/icon/seaking.png']
0120;Staryu;['Water'];340;30;45;55;70;55;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/staryu.png']
0121;Starmie;['Water', 'Psychic'];520;60;75;85;100;85;115;['https://img.pokemondb.net/sprites/scarlet-violet/icon/starmie.png']
0122;Mr. Mime;['Psychic', 'Fairy'];460;40;45;65;100;120;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime.png']
0122;Mr. Mime Galarian Mr. Mime;['Ice', 'Psychic'];460;50;65;65;90;90;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime-galarian.png']
0123;Scyther;['Bug', 'Flying'];500;70;110;80;55;80;105;['https://img.pokemondb.net/sprites/scarlet-violet/icon/scyther.png']
0124;Jynx;['Ice', 'Psychic'];455;65;50;35;115;95;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/jynx.png']
0125;Electabuzz;['Electric'];490;65;83;57;95;85;105;['https://img.pokemondb.net/sprites/scarlet-violet/icon/electabuzz.png']
0126;Magmar;['Fire'];495;65;95;57;100;85;93;['https://img.pokemondb.net/sprites/scarlet-violet/icon/magmar.png']
0127;Pinsir;['Bug'];500;65;125;100;55;70;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir.png']
0127;Pinsir Mega Pinsir;['Bug', 'Flying'];600;65;155;120;65;90;105;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir-mega.png']
0128;Tauros;['Normal'];490;75;100;95;40;70;110;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros.png']
0128;Tauros Combat Breed;['Fighting'];490;75;110;105;30;70;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean.png']
0128;Tauros Blaze Breed;['Fighting', 'Fire'];490;75;110;105;30;70;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-blaze.png']
0128;Tauros Aqua Breed;['Fighting', 'Water'];490;75;110;105;30;70;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-aqua.png']
0129;Magikarp;['Water'];200;20;10;55;15;20;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/magikarp.png']
0130;Gyarados;['Water', 'Flying'];540;95;125;79;60;100;81;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados.png']
0130;Gyarados Mega Gyarados;['Water', 'Dark'];640;95;155;109;70;130;81;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados-mega.png']
0131;Lapras;['Water', 'Ice'];535;130;85;80;85;95;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/lapras.png']
0132;Ditto;['Normal'];288;48;48;48;48;48;48;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ditto.png']
0133;Eevee;['Normal'];325;55;55;50;45;65;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee.png']
0133;Eevee Partner Eevee;['Normal'];435;65;75;70;65;85;75;['https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee-lets-go.png']
0134;Vaporeon;['Water'];525;130;65;60;110;95;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/vaporeon.png']
0135;Jolteon;['Electric'];525;65;65;60;110;95;130;['https://img.pokemondb.net/sprites/scarlet-violet/icon/jolteon.png']
0136;Flareon;['Fire'];525;65;130;60;95;110;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/flareon.png']
0137;Porygon;['Normal'];395;65;60;70;85;75;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon.png']
0138;Omanyte;['Rock', 'Water'];355;35;40;100;90;55;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/omanyte.png']
0139;Omastar;['Rock', 'Water'];495;70;60;125;115;70;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/omastar.png']
0140;Kabuto;['Rock', 'Water'];355;30;80;90;55;45;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/kabuto.png']
0141;Kabutops;['Rock', 'Water'];495;60;115;105;65;70;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/kabutops.png']
0142;Aerodactyl;['Rock', 'Flying'];515;80;105;65;60;75;130;['https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl.png']
0142;Aerodactyl Mega Aerodactyl;['Rock', 'Flying'];615;80;135;85;70;95;150;['https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl-mega.png']
0143;Snorlax;['Normal'];540;160;110;65;65;110;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/snorlax.png']
0144;Articuno;['Ice', 'Flying'];580;90;85;100;95;125;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno.png']
0144;Articuno Galarian Articuno;['Psychic', 'Flying'];580;90;85;85;125;100;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno-galarian.png']
0145;Zapdos;['Electric', 'Flying'];580;90;90;85;125;90;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos.png']
0145;Zapdos Galarian Zapdos;['Fighting', 'Flying'];580;90;125;90;85;90;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos-galarian.png']
